ip.session_id;meta.direction;ip.pkts_per_flow;duration;ip.header_len;ip.payload_len;ip.avg_bytes_tot_len;time_between_pkts_sum;time_between_pkts_avg;time_between_pkts_max;time_between_pkts_min;time_between_pkts_std;"(-0.001, 50.0]";"(50.0, 100.0]";"(100.0, 150.0]";"(150.0, 200.0]";"(200.0, 250.0]";"(250.0, 300.0]";"(300.0, 350.0]";"(350.0, 400.0]";"(400.0, 450.0]";"(450.0, 500.0]";"(500.0, 550.0]";tcp_pkts_per_flow;pkts_rate;tcp_bytes_per_flow;byte_rate;tcp.tcp_session_payload_up_len;tcp.tcp_session_payload_down_len;"(-0.001, 150.0]";"(150.0, 300.0]";"(300.0, 450.0]";"(450.0, 600.0]";"(600.0, 750.0]";"(750.0, 900.0]";"(900.0, 1050.0]";"(1050.0, 1200.0]";"(1200.0, 1350.0]";"(1350.0, 1500.0]";"(1500.0, 10000.0]";tcp.fin;tcp.syn;tcp.rst;tcp.psh;tcp.ack;tcp.urg;sport_g;sport_le;dport_g;dport_le;mean_tcp_pkts;std_tcp_pkts;min_tcp_pkts;max_tcp_pkts;entropy_tcp_pkts;mean_tcp_len;std_tcp_len;min_tcp_len;max_tcp_len;entropy_tcp_len;ssl.tls_version;malware
2106;0;5.0;1524.7059471607208;100.0;241.0;87.9;9.797096252441406;1.9594192504882812;8.597135543823242;0.00095367431640625;3.715719435354359;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.0032793208482664524;129;0.0032793208482664524;5;5;5;0;0;0;0;0;0;0;0;0;0;1;1;0;2;5;0;5;0;5;0;8080.0;0.0;8080;8080;0.0;25.8;48.74628190949541;0;112;0;0;0
392;0;5.0;580.5351989269257;100.0;241.0;87.9;9.958982467651367;1.9917964935302734;8.882999420166016;0.0;3.856163813789522;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.008612742189004409;129;0.008612742189004409;5;5;5;0;0;0;0;0;0;0;0;0;0;1;1;0;2;5;0;5;0;5;0;8080.0;0.0;8080;8080;0.0;25.8;48.74628190949541;0;112;0;0;1
385;1;5.0;576.9418478012085;100.0;438.0;87.9;505.6278705596924;101.12557411193848;505.0039291381836;0.017881393432617188;225.77494260431678;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5;0.008666384695538334;326;0.008666384695538334;5;5;4;0;1;0;0;0;0;0;0;0;0;1;1;0;1;4;0;5;0;5;0;50979.0;0.0;50979;50979;0.0;65.2;145.79163213298628;0;326;0;0;1
2574;0;5.0;1751.3420951366425;100.0;241.0;87.9;11.359930038452148;2.2719860076904297;10.293006896972656;0.013113021850585938;4.4865052252398065;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.0028549533605596866;129;0.0028549533605596866;5;5;5;0;0;0;0;0;0;0;0;0;0;1;1;0;2;5;0;5;0;5;0;8080.0;0.0;8080;8080;0.0;25.8;48.74628190949541;0;112;0;0;0
996;0;5.0;1146.474949836731;100.0;241.0;87.9;10.94818115234375;2.18963623046875;9.490966796875;0.049114227294921875;4.086619199825995;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.004361194285764419;129;0.004361194285764419;5;5;5;0;0;0;0;0;0;0;0;0;0;1;1;0;2;5;0;5;0;5;0;8080.0;0.0;8080;8080;0.0;25.8;48.74628190949541;0;112;0;0;1
752;1;5.0;840.4987318515778;100.0;438.0;87.9;2005.295991897583;401.0591983795166;2004.580020904541;0.025987625122070312;896.3954230472236;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.005948848951842251;326;0.005948848951842251;5;5;4;0;1;0;0;0;0;0;0;0;0;1;1;0;1;4;0;5;0;5;0;51346.0;0.0;51346;51346;0.0;65.2;145.79163213298628;0;326;0;0;1
187;0;5.0;374.9477069377899;100.0;241.0;87.9;10.930061340332031;2.1860122680664062;9.734869003295898;0.014066696166992188;4.223953360758838;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.013335192901525288;129;0.013335192901525288;5;5;5;0;0;0;0;0;0;0;0;0;0;1;1;0;2;5;0;5;0;5;0;8080.0;0.0;8080;8080;0.0;25.8;48.74628190949541;0;112;0;0;1
9149;1;5.0;12613.001449108124;100.0;438.0;87.9;504.0409564971924;100.80819129943848;503.45396995544434;0.019073486328125;225.08592033096338;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5;0.00039641635023783767;326;0.00039641635023783767;5;5;4;0;1;0;0;0;0;0;0;0;0;1;1;0;1;4;0;5;0;5;0;60768.0;0.0;60768;60768;0.0;65.2;145.79163213298628;0;326;0;0;0
10335;1;5.0;14406.783728122711;100.0;438.0;87.9;2004.9769878387451;400.995397567749;2004.3859481811523;0.017881393432617188;896.3225884107551;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.00034705872555300236;326;0.00034705872555300236;5;5;4;0;1;0;0;0;0;0;0;0;0;1;1;0;1;4;0;5;0;5;0;61954.0;0.0;61954;61954;0.0;65.2;145.79163213298628;0;326;0;0;0
521;0;5.0;644.7838938236237;100.0;241.0;87.9;10.466814041137695;2.093362808227539;9.424924850463867;0.00095367431640625;4.102169886338989;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.007754536128918439;129;0.007754536128918439;5;5;5;0;0;0;0;0;0;0;0;0;0;1;1;0;2;5;0;5;0;5;0;8080.0;0.0;8080;8080;0.0;25.8;48.74628190949541;0;112;0;0;1
