Normal_prob,Malware_prob
0.271882,0.728118
0.27185142,0.7281486
0.4984916,0.5015084
0.29882562,0.7011744
0.49152386,0.50847614
0.4984995,0.5015005
0.28485245,0.71514755
0.29355776,0.70644224
0.303648,0.696352
0.4984035,0.5015965
0.2732904,0.7267096
0.49821973,0.5017803
0.28480434,0.71519566
0.29015768,0.7098423
0.49816298,0.501837
0.27189463,0.72810537
0.49839997,0.5016
0.29337275,0.70662725
0.49851084,0.50148916
0.49782264,0.50217736
0.28963947,0.7103605
0.28549212,0.7145079
0.49839783,0.5016022
0.4982974,0.5017026
0.4984523,0.5015477
0.30967945,0.69032055
0.4979304,0.5020696
0.2999196,0.7000804
0.49826092,0.5017391
0.49779248,0.5022075
0.30807692,0.6919231
0.4973482,0.5026518
0.2932902,0.7067098
0.29697907,0.70302093
0.28445876,0.71554124
0.29951054,0.70048946
0.49851012,0.5014899
0.2896827,0.7103173
0.27183753,0.72816247
0.49850553,0.50149447
0.33781224,0.66218776
0.28433883,0.71566117
0.49821275,0.50178725
0.47949976,0.52050024
0.27189642,0.7281036
0.29776162,0.7022384
0.31056744,0.68943256
0.284357,0.715643
0.49850827,0.5014917
0.49785388,0.5021461
0.49851048,0.5014895
0.28490973,0.7150903
0.49839902,0.501601
0.49840343,0.50159657
0.49828643,0.5017136
0.2720304,0.7279696
0.4985106,0.5014894
0.27192461,0.7280754
0.4984908,0.5015092
0.49851054,0.50148946
0.300766,0.699234
0.309965,0.690035
0.27310932,0.7268907
0.49828196,0.50171804
0.30793852,0.6920615
0.49851006,0.50148994
0.27184886,0.72815114
0.49818653,0.5018135
0.30255604,0.69744396
0.2733243,0.7266757
0.49850667,0.50149333
0.29688156,0.70311844
0.2878629,0.7121371
0.4984647,0.5015353
0.49850553,0.50149447
0.49848968,0.5015103
0.2931056,0.7068944
0.4983269,0.5016731
0.49766546,0.50233454
0.47870117,0.5212988
0.49850583,0.50149417
0.49829763,0.50170237
0.36695534,0.63304466
0.4979263,0.5020737
0.4696049,0.5303951
0.27202964,0.72797036
0.49849802,0.501502
0.27187997,0.72812
0.49813455,0.50186545
0.28895593,0.7110441
0.45050412,0.5494959
0.49751782,0.5024822
0.28468364,0.71531636
0.4985103,0.5014897
0.49851072,0.5014893
0.4982447,0.5017553
0.3204919,0.6795081
0.28800875,0.71199125
0.27190614,0.72809386
0.49851084,0.50148916
0.27302468,0.7269753
0.49838102,0.501619
0.49849892,0.5015011
0.3032239,0.6967761
0.49822307,0.50177693
0.49851072,0.5014893
0.49744081,0.5025592
0.2938494,0.7061506
0.49811167,0.50188833
0.2837143,0.7162857
0.49832147,0.5016785
0.28752136,0.71247864
0.4982437,0.5017563
0.49826276,0.50173724
0.2859856,0.7140144
0.49827015,0.50172985
0.3000964,0.6999036
0.49830508,0.5016949
0.49851084,0.50148916
0.49850988,0.5014901
0.2894057,0.7105943
0.30315578,0.6968442
0.28564024,0.71435976
0.3046463,0.6953537
0.49839854,0.50160146
0.27313846,0.72686154
0.3124503,0.6875497
0.49851036,0.50148964
0.29002702,0.709973
0.498159,0.501841
0.30878222,0.6912178
0.2720344,0.7279656
0.49774456,0.50225544
0.49716932,0.5028307
0.4982971,0.5017029
0.4717272,0.5282728
0.2855996,0.7144004
0.27187127,0.72812873
0.498249,0.501751
0.2951774,0.7048226
0.3002618,0.6997382
0.2998672,0.7001328
0.49850482,0.5014952
0.31777692,0.6822231
0.2950158,0.7049842
0.3316276,0.6683724
0.28586322,0.7141368
0.27301508,0.7269849
0.4167143,0.5832857
0.29270697,0.70729303
0.49851036,0.50148964
0.35250837,0.64749163
0.4978249,0.5021751
0.29833943,0.7016606
0.27311975,0.72688025
0.2887863,0.7112137
0.28744453,0.71255547
0.49849063,0.50150937
0.3093832,0.6906168
0.29980272,0.7001973
0.2851544,0.7148456
0.4983952,0.5016048
0.49772006,0.50227994
0.28737724,0.71262276
0.48270398,0.517296
0.49832153,0.50167847
0.3138821,0.6861179
0.2719292,0.7280708
0.49851066,0.50148934
0.27184033,0.72815967
0.2888925,0.7111075
0.27200484,0.72799516
0.29456478,0.7054352
0.4966231,0.5033769
0.49850398,0.501496
0.49783832,0.5021617
0.29272336,0.70727664
0.49816328,0.5018367
0.29956084,0.70043916
0.30014175,0.69985825
0.2719174,0.7280826
0.39874136,0.60125864
0.28527433,0.7147257
0.49848598,0.501514
0.4982038,0.5017962
0.49834913,0.50165087
0.4984058,0.5015942
0.29994893,0.70005107
0.29027218,0.7097278
0.49847883,0.50152117
0.3009714,0.6990286
0.49782586,0.50217414
0.3093192,0.6906808
0.49851066,0.50148934
0.29299092,0.7070091
0.28581268,0.7141873
0.49765354,0.50234646
0.2859624,0.7140376
0.30298924,0.69701076
0.3122807,0.6877193
0.27203226,0.72796774
0.49818438,0.5018156
0.49766153,0.50233847
0.49851024,0.50148976
0.28803653,0.7119635
0.4258889,0.5741111
0.299464,0.700536
0.27187032,0.7281297
0.49785817,0.50214183
0.49851054,0.50148946
0.49775428,0.5022457
0.29887724,0.70112276
0.2843789,0.7156211
0.49824548,0.5017545
0.2993247,0.7006753
0.49827838,0.5017216
0.49850988,0.5014901
0.49851054,0.50148946
0.49850833,0.50149167
0.4982531,0.5017469
0.30093157,0.6990684
0.27191776,0.72808224
0.27185363,0.7281464
0.33289725,0.66710275
0.49850768,0.5014923
0.49753982,0.5024602
0.27312642,0.7268736
0.49826312,0.5017369
0.40504664,0.59495336
0.49743956,0.50256044
0.29796076,0.70203924
0.49829715,0.50170285
0.49765837,0.5023416
0.27188283,0.72811717
0.28500825,0.71499175
0.2945087,0.7054913
0.27201545,0.72798455
0.33148944,0.66851056
0.29717237,0.70282763
0.49840075,0.50159925
0.4978124,0.5021876
0.3072741,0.6927259
0.49814057,0.5018594
0.4977131,0.5022869
0.49822474,0.50177526
0.29637283,0.70362717
0.4985106,0.5014894
0.29511714,0.70488286
0.2896983,0.7103017
0.3026147,0.6973853
0.4985103,0.5014897
0.49815118,0.5018488
0.2718736,0.7281264
0.49824095,0.50175905
0.49766397,0.502336
0.34345967,0.65654033
0.43560672,0.5643933
0.2720338,0.7279662
0.34702784,0.65297216
0.29760528,0.7023947
0.28962368,0.7103763
0.2930733,0.7069267
0.49850994,0.50149006
0.27302748,0.7269725
0.27185476,0.72814524
0.2857707,0.7142293
0.3220926,0.6779074
0.30156934,0.69843066
0.4977271,0.5022729
0.49765617,0.50234383
0.49845195,0.50154805
